Sexe,Année de naissance,Commune,Situation familiale,Habitat,Catégorie socioprofessionnelle,Nationalité,Nombre d'enfant(s),Date du contact,1er contact,Motif,Violences,Produits addictifs,Envoyé(e) par institution,age_contact
M,1967,Sarramea,Union libre,,Employé-e,FRANCAISE,,2010-10,False,Auteur,"Verbales,Verbales,Physiques",,Tribunal,43
F,1967,Mont dore,Marié(e),Hébergé,Employé-e,,2,2017-05,False,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,49
M,1967,Dumbéa,Marié(e),Locataire,Ouvrier-ère,,2,2015-03,True,Auteur,Sur enfants,,Tribunal,47
M,1967,Nouméa,Marié(e),,Ouvrier-ère,FRANCAISE,2,2011-03,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,43
M,1967,Dumbéa,Union libre,Locataire,Employé-e,FRANCAISE,4,2010-12,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,43
F,1967,Nouméa,Marié(e),Squat,Chômage,,3,2015-12,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Travailleurs sociaux,48
F,1967,Nouméa,Marié(e),Propriétaire,,FRANCAISE,1,2016-08,True,Victime,"Verbales,Psychologiques,Physiques,Dégradations de biens",,Tribunal,49
F,1967,Dumbéa,Union libre,,Femme de service,FRANCAISE,4,2016-10,False,Victime,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,49
M,1967,Nouméa,Union libre,Hébergé,Employé-e,FRANCAISE,2,2011-10,True,Auteur,Physiques,,Tribunal,44
M,1967,Dumbéa,Marié(e),Propriétaire,Profession libérale,FRANCAISE,2,2009-12,False,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,42
M,1967,Nouméa,Union libre,,,FRANCAISE,,2012-04,True,Auteur,"Psychologiques,Physiques",,Tribunal,44
F,1967,Nouméa,Union libre,Locataire,Femme de menage,,1,2013-02,True,Victime,"Verbales,Psychologiques,Psychologiques",alcool,Tribunal,45
M,1967,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,6,2022-10,True,Auteur,"Verbales,Psychologiques,Physiques,Économiques",,,55
M,1967,Nouméa,Divorcé(e),Propriétaire,Employé-e,,1,2020-09,True,Auteur,Physiques,,Police,53
F,1967,Mont dore,Marié(e),,Auxiliaire de vie,,2,2014-11,False,Auteur,"Verbales,Menaces de mort,Physiques",,Tribunal,47
F,1967,Nouméa,Marié(e),Locataire,,FRANCAISE,1,2012-02,True,Mixte,"Psychologiques,Physiques",médicaments,Police,44
F,1967,Nouméa,Marié(e),Locataire,Aide maternelle,,1,2013-11,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,46
F,1967,Dumbéa,Divorcé(e),,Cadre,FRANCAISE,1,2010-11,True,Mixte,,,Entourage,43
F,1967,Dumbéa,Divorcé(e),Propriétaire,Fonctionnaire,FRANCAISE,2,2014-07,True,Mixte,"Verbales,Psychologiques",alcool,Entourage,47
F,1967,Mont dore,Divorcé(e),Locataire,Employé-e,,3,2021-12,True,Victime,"Verbales,Psychologiques",,Associations,54
F,1967,Boulouparis,Union libre,Propriétaire,Sans Emploi,FRANCAISE,3,2010-05,True,Victime,"Verbales,Physiques",alcool,Tribunal,43
M,1967,Dumbéa,Union libre,,Ouvrier-ère,FRANCAISE,,2012-07,False,Auteur,,,,45
M,1967,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2010-05,True,Autre,"Verbales,Physiques",,Tribunal,43
F,1967,Nouméa,Veuf/veuve,,,,8,2019-01,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",alcool,Services Province Sud,51
F,1967,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,4,2017-12,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,,50
F,1967,Canala,Marié(e),,Sans Emploi,FRANCAISE,1,2011-01,True,Mixte,,,Travailleurs sociaux,43
M,1967,Yate,Union libre,,Employé-e,VANUATAISE,,2012-01,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,45
F,1967,Dumbéa,Union libre,,Chômage,,2,2014-03,True,Mixte,"Verbales,Psychologiques,Physiques",,Centre d'information des droits des femmes et égalité,47
M,1966,Nouméa,Séparé(e),,,FRANCAISE,1,2012-05,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,45
F,1966,Nouméa,Séparé(e),Propriétaire,Employé-e,FRANCAISE,2,2018-03,True,Mixte,Verbales,,,51
F,1966,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,1,2010-07,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,43
M,1966,Nouméa,Union libre,Locataire,Ouvrier-ère,FRANCAISE,0,2012-01,True,Auteur,"Verbales,Psychologiques,Physiques",drogue,Tribunal,45
F,1966,Nouméa,Marié(e),Propriétaire,Retraité-e,,3,2015-04,True,Mixte,"Verbales,Physiques",,Entourage,48
F,1966,Nouméa,Marié(e),Squat,Chômage,,3,2014-04,True,Mixte,"Verbales,Psychologiques",,Travailleurs sociaux,47
F,1966,Nouméa,Séparé(e),Locataire,Employé-e,FRANCAISE,1,2011-04,True,Victime,Physiques,,Tribunal,44
F,1966,Nouméa,Séparé(e),Hébergé,Cadre,,2,2020-06,True,Mixte,"Psychologiques,Physiques",,Police,53
M,1966,Paita,,,Employé-e,,,2010-07,True,Auteur,"Verbales,Physiques",alcool,Tribunal,43
M,1966,Paita,Union libre,Hébergé,Agriculteur-rice,FRANCAISE,,2022-02,False,Auteur,"Verbales,Psychologiques,Physiques,Économiques",alcool,Tribunal,55
M,1966,Bourail,Union libre,,,,,2015-06,True,Auteur,"Verbales,Dégradations de biens,Menaces de mort",alcool,Tribunal,48
M,1966,Mont dore,Marié(e),Propriétaire,Cadre,FRANCAISE,,2012-01,False,Mixte,"Verbales,Psychologiques,Physiques",alcool,Tribunal,45
F,1966,Nouméa,Marié(e),Locataire,Employé-e,,5,2015-02,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Police,48
F,1966,Nouméa,Séparé(e),,Auxiliaire de vie,,1,2018-12,True,Mixte,"Verbales,Psychologiques,Physiques",,Spontanée,52
F,1966,Nouméa,Marié(e),Hébergé,Sans Emploi,FRANCAISE,1,2012-10,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,46
M,1966,Nouméa,Marié(e),Propriétaire,Sans Emploi,FRANCAISE,3,2018-02,True,Mixte,"Physiques,Psychologiques,Verbales",,Tribunal,51
F,1966,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2010-05,True,Mixte,"Verbales,Physiques",,Tribunal,43
M,1966,Nouméa,,,Employé-e,FRANCAISE,,2009-12,True,Autre,"Psychologiques,Physiques",alcool,Tribunal,43
F,1966,,Marié(e),,,,4,2014-02,False,Mixte,"Verbales,Psychologiques,Physiques,Intrafamiliales",,Spontanée,47
F,1966,Farino,Séparé(e),,Profession libérale,,1,2014-01,True,Victime,"Verbales,Physiques",,Tribunal,47
F,1966,Nouméa,Union libre,Locataire,Sans Emploi,,2,2019-03,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Travailleurs sociaux,52
M,1966,Dumbéa,Union libre,Squat,Ouvrier-ère,FRANCAISE,3,2012-08,True,Auteur,"Psychologiques,Physiques",alcool,Tribunal,46
F,1966,Nouméa,Marié(e),Locataire,,FRANCAISE,8,2010-10,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Travailleurs sociaux,44
F,1966,Nouméa,Marié(e),Locataire,Employé-e,VANUATAISE,,2009-12,True,Autre,"Physiques,Psychologiques",,Tribunal,43
M,1966,Nouméa,Union libre,Locataire,Ouvrier-ère,,1,2013-10,False,Auteur,Physiques,alcool,Tribunal,47
M,1966,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2010-03,True,Autre,"Verbales,Psychologiques,Physiques",alcool,Tribunal,43
M,1966,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2012-07,True,Auteur,"Verbales,Physiques",,Tribunal,46
F,1966,Mont dore,Séparé(e),,,,2,2010-04,True,Mixte,Psychologiques,,Travailleurs sociaux,44
M,1966,Nouméa,Marié(e),,Sans Emploi,,2,2013-07,True,Mixte,"Verbales,Psychologiques",,Spontanée,47
F,1966,La foa,Séparé(e),Hébergé,Employé-e,,3,2018-10,False,Mixte,"Verbales,Psychologiques",,,52
F,1965,Nouméa,Séparé(e),Hébergé,Employé-e,,6,2021-06,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Économiques,Menaces de mort",,Professionnels de santé,55
F,1965,Nouméa,Union libre,,Sans Emploi,,3,2013-01,False,,Psychologiques,,Gendarmerie,47
F,1965,Poindimié,Union libre,,Profession intermédiaire,FRANCAISE,1,2010-11,True,Victime,Physiques,,Tribunal,44
F,1965,,Union libre,Locataire,Employé-e,FRANCAISE,2,2012-02,True,Victime,Physiques,alcool,Tribunal,46
F,1965,Nouméa,Union libre,Locataire,Sans Emploi,FRANCAISE,3,2011-06,True,Mixte,Physiques,,Police,45
F,1965,Dumbéa,Séparé(e),Propriétaire,Employé-e,,2,2018-06,True,Mixte,"Verbales,Physiques,Psychologiques",,,52
F,1965,Nouméa,Célibataire,Hébergé,Sans Emploi,FRANCAISE,7,2012-04,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques",,Associations,46
M,1965,Nouméa,Marié(e),,Enseignant-e public,,2,2013-04,True,Mixte,Psychologiques,,Professionnels de santé,47
F,1965,Nouméa,Union libre,Locataire,Sans Emploi,FRANCAISE,3,2010-12,True,Mixte,,,Travailleurs sociaux,45
M,1965,Nouméa,Marié(e),Locataire,Sans Emploi,FRANCAISE,5,2011-04,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,45
F,1965,Nouméa,Union libre,Hébergé,,,,2019-09,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,53
M,1965,Moindou,Union libre,Propriétaire,Agriculteur-rice,FRANCAISE,,2022-02,True,Auteur,,,Service pénitentiaire d'insertion et de probation SPIP,56
M,1965,Mont dore,Marié(e),Locataire,Sans Emploi,,2,2021-03,False,Auteur,Physiques,,Tribunal,55
F,1965,Nouméa,Séparé(e),Locataire,,FRANCAISE,,2021-12,True,Victime,Psychologiques,,Services Province Sud,56
M,1965,Nouméa,Marié(e),,Sans Emploi,FRANCAISE,2,2012-06,True,Auteur,"Physiques,Physiques",,Tribunal,46
F,1965,Nouméa,,Hébergé,Sans Emploi,FRANCAISE,,2017-12,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Économiques,Administratives",,,52
M,1965,Mont dore,Union libre,,,,4,2023-12,False,Mixte,Psychologiques,,Tribunal,58
F,1965,Nouméa,Séparé(e),Locataire,Employé-e,,2,2019-08,True,Mixte,Psychologiques,,Centre d'information des droits des femmes et égalité,54
F,1965,Mont dore,,,Ouvrier-ère,,2,2013-10,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,48
F,1965,Nouméa,,,,,,2013-04,False,,Physiques,,Entourage,47
M,1965,Ouvea,Marié(e),,Profession intermédiaire,FRANCAISE,3,2010-06,True,Auteur,"Verbales,Physiques",alcool,Tribunal,45
F,1965,Nouméa,Séparé(e),Locataire,,FRANCAISE,3,2010-04,False,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,44
M,1965,Mont dore,Union libre,Propriétaire,,FRANCAISE,,2016-12,True,Auteur,"Verbales,Physiques",,Tribunal,51
F,1965,Nouméa,Séparé(e),,Profession intermédiaire,FRANCAISE,2,2012-01,False,,Intrafamiliales,,Entourage,46
M,1965,Dumbéa,Marié(e),,Femme de service,,1,2015-02,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Professionnels de santé,49
F,1965,Mont dore,Marié(e),,Sans Emploi,,2,2014-01,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,48
M,1965,Nouméa,Marié(e),,Employé-e,,3,2013-01,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,47
M,1965,Nouméa,Union libre,Hébergé,Ouvrier-ère,FRANCAISE,,2012-10,True,Auteur,Physiques,,Tribunal,47
F,1965,Nouméa,Union libre,,Femme de service,,3,2017-12,True,Mixte,"Verbales,Psychologiques",,Associations,52
M,1965,Dumbéa,Marié(e),Propriétaire,Policier-ère,,0,2015-07,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Professionnels de santé,50
M,1965,Mont dore,Marié(e),Propriétaire,Chômage,FRANCAISE,1,2021-12,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,56
F,1964,,Séparé(e),,,FRANCAISE,,2010-04,True,Autre,Psychologiques,alcool,Police,45
M,1964,Nouméa,Marié(e),,,,,2013-01,True,Auteur,Physiques,alcool,Tribunal,48
F,1964,Nouméa,Marié(e),Propriétaire,Sans Emploi,,2,2018-08,True,Mixte,"Verbales,Psychologiques",,Spontanée,53
F,1964,Mont dore,Marié(e),Locataire,Secrétaire,,3,2015-05,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Tribunal,50
F,1964,Moindou,,,,,4,2013-01,True,Mixte,"Verbales,Psychologiques,Physiques",,Centre d'information des droits des femmes et égalité,48
M,1964,Thio,,,Employé-e,FRANCAISE,,2010-04,True,Auteur,"Psychologiques,Physiques",,Tribunal,45
M,1964,Nouméa,Union libre,Locataire,Ouvrier-ère,FRANCAISE,1,2017-04,True,Auteur,Physiques,,Tribunal,52
M,1964,Nouméa,Union libre,Hébergé,Technicien-ne,,,2014-12,True,Auteur,"Verbales,Psychologiques,Physiques",,Police,50
F,1964,,Marié(e),,,FRANCAISE,,2011-09,True,Mixte,"Psychologiques,Physiques",,,47
F,1964,Nouméa,,,Aide maternelle,FRANCAISE,2,2012-10,False,Mixte,Psychologiques,,Police,48
F,1964,Dumbéa,Marié(e),,Secrétaire,,2,2014-10,True,Mixte,Psychologiques,médicaments,Professionnels de santé,50
F,1964,La foa,Marié(e),,Employé-e,FRANCAISE,2,2010-11,True,Mixte,"Verbales,Psychologiques",,Entourage,46
F,1964,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,3,2011-06,True,Victime,"Verbales,Physiques",alcool,Tribunal,47
F,1964,Nouméa,Célibataire,Hébergé,Sans Emploi,FRANCAISE,,2011-01,True,Mixte,"Psychologiques,Physiques,Sexuelles",,Centre d'hébergement et de réinsertion social,46
M,1964,Dumbéa,Marié(e),Locataire,Ouvrier-ère,,2,2013-04,True,Mixte,"Psychologiques,Physiques,Économiques",,Travailleurs sociaux,48
F,1964,Dumbéa,Union libre,Locataire,Profession intermédiaire,FRANCAISE,3,2012-02,True,Mixte,Psychologiques,,Entourage,47
F,1964,Nouméa,Marié(e),Locataire,Sans Emploi,,6,2017-10,True,Mixte,"Verbales,Psychologiques,Économiques,Physiques",,Centre d'information des droits des femmes et égalité,53
M,1964,Nouméa,Marié(e),Hébergé,,,5,2020-03,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,55
F,1964,Dumbéa,Union libre,,Sans Emploi,,,2013-10,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,49
M,1964,Nouméa,Marié(e),Locataire,,,2,2021-06,True,Mixte,"Verbales,Physiques",,Police,57
F,1964,Mont dore,Union libre,Hébergé,Secrétaire,,,2016-08,True,Mixte,"Verbales,Psychologiques,Physiques",,Spontanée,52
M,1964,Touho,Union libre,,Employé-e,FRANCAISE,,2011-12,True,Mixte,"Verbales,Psychologiques,Physiques",,Tribunal,47
M,1964,Mont dore,Marié(e),Propriétaire,,FRANCAISE,,2010-02,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,46
M,1963,Nouméa,Séparé(e),Locataire,Profession libérale,FRANCAISE,1,2011-04,True,Auteur,Physiques,,Tribunal,47
M,1963,Nouméa,Union libre,Hébergé,Ouvrier-ère,FRANCAISE,,2011-04,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,47
M,1963,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,,2010-03,True,Autre,"Verbales,Psychologiques,Physiques",alcool,Tribunal,46
M,1963,Nouméa,Pascé(e),Locataire,Ouvrier-ère,,,2013-01,True,Auteur,Physiques,alcool,Tribunal,49
F,1963,Nouméa,Séparé(e),Locataire,Sans Emploi,,2,2013-03,True,Victime,"Psychologiques,Économiques",,Tribunal,49
M,1963,Nouméa,,Propriétaire,Profession intermédiaire,,2,2014-09,True,Auteur,Psychologiques,,Professionnels de santé,51
M,1963,Nouméa,Union libre,,Ouvrier-ère,,4,2012-12,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,49
F,1963,Mont dore,Union libre,Locataire,Femme de service,FRANCAISE,,2012-01,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,48
F,1963,Dumbéa,,,,,6,2021-08,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques,Menaces de mort",,Gendarmerie,58
F,1963,Dumbéa,Marié(e),Propriétaire,Ouvrier-ère,FRANCAISE,,2010-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,46
F,1963,Nouméa,Marié(e),Hébergé,Sans Emploi,,2,2015-10,True,Mixte,"Verbales,Physiques",alcool,Centre d'hébergement et de réinsertion social,52
F,1963,Mont dore,Célibataire,Propriétaire,Employé-e,,4,2018-12,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Spontanée,55
M,1963,Mont dore,Marié(e),Propriétaire,Employé-e,FRANCAISE,5,2016-04,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,52
F,1963,Dumbéa,Veuf/veuve,Locataire,Femme de service,,3,2013-04,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Police,49
M,1963,Nouméa,Union libre,Locataire,Employé-e,,2,2013-10,True,Auteur,"Psychologiques,Psychologiques,Physiques",,Tribunal,50
F,1963,Nouméa,,Locataire,Femme de service,FRANCAISE,4,2009-04,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,45
M,1963,Nouméa,Union libre,Locataire,Employé-e,,1,2020-01,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Tribunal,56
M,1963,Nouméa,Marié(e),Propriétaire,Sans Emploi,,,2020-01,True,Auteur,"Verbales,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,56
F,1963,Nouméa,Union libre,,,,1,2012-12,True,Mixte,Psychologiques,alcool,Professionnels de santé,49
F,1963,Nouméa,Célibataire,Propriétaire,Employé-e,,1,2017-08,True,Mixte,"Verbales,Psychologiques,Physiques",,Police,54
F,1963,Nouméa,Union libre,Propriétaire,Femme de menage,,4,2014-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Spontanée,51
F,1963,Boulouparis,Marié(e),,Agriculteur-rice,FRANCAISE,4,2011-02,True,Mixte,"Psychologiques,Verbales",,Centre d'hébergement et de réinsertion social,47
F,1963,Nouméa,Marié(e),Propriétaire,,,,2021-08,True,Victime,"Verbales,Psychologiques,Physiques",,,58
M,1963,Mont dore,Union libre,Locataire,,VANUATAISE,3,2010-11,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,47
F,1963,Nouméa,Union libre,Hébergé,Employé-e,FRANCAISE,,2010-03,False,Mixte,"Verbales,Psychologiques,Physiques",,Tribunal,47
M,1962,Dumbéa,Marié(e),,Employé-e,FRANCAISE,,2010-05,True,Auteur,"Verbales,Physiques",alcool,Tribunal,47
F,1962,Nouméa,Séparé(e),,,,2,2015-06,False,Mixte,"Verbales,Psychologiques,Physiques",,Spontanée,52
F,1962,Nouméa,Marié(e),Locataire,Sans Emploi,FRANCAISE,,2011-05,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,48
F,1962,Nouméa,Marié(e),Propriétaire,Sans Emploi,,7,2020-01,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques,Intrafamiliales,Menaces de mort",,Travailleurs sociaux,57
F,1962,Mont dore,Marié(e),,,FRANCAISE,7,2010-01,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques",alcool,,47
F,1962,Nouméa,Marié(e),Squat,Ouvrier-ère,,5,2013-02,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,50
F,1962,Lifou,Marié(e),,,FRANCAISE,6,2012-08,True,Victime,"Psychologiques,Physiques",,Tribunal,49
F,1962,Mont dore,,Propriétaire,Retraité-e,,2,2023-04,True,Victime,,,Travailleurs sociaux,60
F,1962,Boulouparis,Séparé(e),Hébergé,Retraité-e,,2,2018-11,True,Mixte,"Physiques,Verbales,Psychologiques,Sexuelles",,Entourage,56
M,1962,Nouméa,Marié(e),Locataire,,,1,2017-09,True,Enfant,,,Professionnels de santé,55
F,1962,Dumbéa,Marié(e),Propriétaire,Employé-e,FRANCAISE,2,2014-12,False,Mixte,"Verbales,Physiques,Psychologiques,Menaces de mort",alcool,Spontanée,52
M,1962,Nouméa,Marié(e),Locataire,Gardien de la paix,,3,2021-08,True,Auteur,"Verbales,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,59
M,1962,Pont des français,Union libre,,Ouvrier-ère,FRANCAISE,,2011-03,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,48
M,1962,Nouméa,Célibataire,,Ouvrier-ère,,,2013-02,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,51
M,1962,Nouméa,Divorcé(e),Propriétaire,Cadre,FRANCAISE,3,2011-04,True,Victime,"Psychologiques,Physiques,Verbales",,Tribunal,49
F,1961,Nouméa,Veuf/veuve,Locataire,Femme de menage,FRANCAISE,4,2016-11,True,Mixte,"Verbales,Psychologiques,Physiques,Dégradations de biens",,Police,54
F,1961,Nouméa,Union libre,Locataire,Sans Emploi,FRANCAISE,2,2016-11,False,Mixte,"Verbales,Psychologiques,Physiques,Intrafamiliales",,Police,55
F,1961,Nouméa,Marié(e),,Profession intermédiaire,FRANCAISE,3,2022-04,True,Victime,Physiques,,,60
M,1961,Mont dore,Marié(e),Propriétaire,,FRANCAISE,2,2011-12,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,50
M,1961,Nouméa,Marié(e),Locataire,Ouvrier-ère,,,2013-06,True,Auteur,"Psychologiques,Physiques",alcool,Tribunal,52
F,1961,Mont dore,Marié(e),Propriétaire,Femme de menage,FRANCAISE,6,2012-09,True,Victime,"Psychologiques,Physiques",,Tribunal,51
F,1961,Nouméa,Veuf/veuve,Locataire,Retraité-e,FRANCAISE,,2022-05,True,Victime,"Verbales,Psychologiques,Physiques,Économiques",,Associations,60
M,,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,3,,False,,,,,
M,1961,Nouméa,,Hébergé,Enseignant-e public,,,2023-08,True,Victime,Verbales,,Professionnels de santé,62
F,1961,Nouméa,Union libre,,,,3,2023-08,True,Victime,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,62
M,1961,Dumbéa,Marié(e),,,FRANCAISE,,2009-12,True,Autre,Physiques,,Tribunal,48
M,1961,Nouméa,,,Employé-e,FRANCAISE,,2010-05,True,Victime,"Verbales,Physiques",alcool,Tribunal,49
F,1961,Dumbéa,Séparé(e),Locataire,Employé-e,,0,2018-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Centre d'information des droits des femmes et égalité,57
M,1961,,Union libre,,,FRANCAISE,,2008-07,True,Autre,"Verbales,Psychologiques,Physiques",,Institutions,47
F,1960,Mont dore,Marié(e),Locataire,,,2,2018-07,True,Mixte,"Psychologiques,Verbales,Physiques,Sexuelles",,Entourage,57
M,1960,Dumbéa,,,Employé-e,FRANCAISE,,2010-01,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,49
F,1960,Nouméa,Union libre,,,,3,2013-04,True,Mixte,"Psychologiques,Physiques",alcool,Travailleurs sociaux,52
M,1960,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,7,2011-02,True,Auteur,Physiques,,Tribunal,50
M,1960,Bourail,Célibataire,Locataire,Retraité-e,,4,2020-02,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,59
F,1960,Nouméa,Marié(e),Locataire,Aide maternelle,,,2013-05,True,Mixte,Psychologiques,,Spontanée,52
F,1960,Nouméa,Marié(e),Locataire,Employé-e,,,2020-02,True,Mixte,"Psychologiques,Physiques",,,59
M,1960,Nouméa,Marié(e),,,,,2020-01,True,Auteur,"Verbales,Physiques",,Tribunal,59
M,1960,Nouméa,Marié(e),,,FRANCAISE,8,2010-10,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,50
F,1960,Nouméa,Union libre,Locataire,Retraité-e,FRANCAISE,,2012-07,True,Victime,"Verbales,Physiques",,Tribunal,52
M,1960,Nouméa,Marié(e),Propriétaire,Chauffeur d'engins,,5,2015-04,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,55
F,1960,Boulouparis,Marié(e),,Retraité-e,,4,2021-02,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,60
F,1960,Paita,Veuf/veuve,Propriétaire,Retraité-e,,,2020-01,True,Mixte,"Verbales,Psychologiques,Physiques",,Gendarmerie,59
F,1960,Mont dore,Union libre,,Femme de service,FRANCAISE,,2011-06,True,Victime,Physiques,alcool,Tribunal,51
F,1960,Nouméa,Marié(e),Locataire,Sans Emploi,,2,2015-10,True,Mixte,"Verbales,Psychologiques,Physiques",,Police,55
F,1960,Nouméa,,,Employé-e,,1,2016-03,True,Mixte,"Verbales,Psychologiques",,Entourage,56
F,1960,Nouméa,Union libre,,Ouvrier-ère,FRANCAISE,3,2009-09,False,,"Verbales,Physiques",,Tribunal,49
M,1959,Nouméa,Union libre,Hébergé,Sans Emploi,FRANCAISE,,2011-06,True,Auteur,"Verbales,Psychologiques,Physiques,Économiques,Sexuelles",alcool,Tribunal,51
F,1959,Dumbéa,Union libre,,Employé-e,,2,2013-05,True,Mixte,"Verbales,Psychologiques",,Services Province Sud,53
M,1959,Nouméa,Marié(e),Propriétaire,Retraité-e,,,2017-06,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Spontanée,57
M,1959,Mont dore,Divorcé(e),,Chauffeur d'engins,,3,2015-05,True,Auteur,"Physiques,Psychologiques",,Travailleurs sociaux,55
F,1959,Nouméa,,,,FRANCAISE,2,2010-07,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles,Économiques",,Tribunal,51
F,1959,Nouméa,Marié(e),,Sans Emploi,,3,2015-07,True,Mixte,"Verbales,Psychologiques",,,56
F,1959,Paita,Marié(e),,Sans Emploi,MAROCAINE,0,2012-05,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques,Sexuelles",,Associations,52
M,1959,Paita,Union libre,Propriétaire,Employé-e,FRANCAISE,,2011-04,True,Auteur,"Verbales,Physiques",alcool,Tribunal,51
M,1959,Nouméa,Marié(e),Squat,Employé-e,FRANCAISE,,2012-04,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,52
F,1959,Mont dore,Marié(e),Propriétaire,Employé-e,,2,2014-08,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Travailleurs sociaux,55
F,1958,Paita,Divorcé(e),,Femme de menage,,1,2014-02,True,Mixte,Psychologiques,,Travailleurs sociaux,55
F,1958,Nouméa,,,,,,2013-03,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,54
F,1958,Mont dore,Marié(e),,Ouvrier-ère,FRANCAISE,2,2010-06,True,Victime,"Verbales,Physiques",,Tribunal,51
F,1958,Dumbéa,Marié(e),,,FRANCAISE,,2011-02,True,Mixte,"Psychologiques,Économiques",,Entourage,52
M,1958,Bourail,,Locataire,Ouvrier-ère,,6,2017-09,True,Auteur,"Physiques,Verbales",,Gendarmerie,59
M,1958,Paita,Union libre,Locataire,Ouvrier-ère,FRANCAISE,1,2011-11,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,53
